"CTY","AC","RIQ","Val"
"AFG","Salmon","QS",0.04
"AFG","OFrshD","QS",11.5533333333333
"AFG","c-FrshD","QD",10.9114348401529
"AFG","c-FrshD","QE",0.00222595457793519
"AFG","c-FrshD","QN",0.00216439133842567
"AFG","c-OPelag","QD",0.0621646441109765
"AFG","c-OPelag","QM",0.0621646441109765
"AFG","c-OPelag","QN",-0.0599727205918435
"AFG","c-ODmrsl","QD",4.36370300431851
"AFG","c-ODmrsl","QM",4.36370300431851
"AFG","c-ODmrsl","QN",-4.17395110647675
"AGO","Shrimp","QS",1.52733333333333
"AGO","Crust","QS",1.454
"AGO","Mllscs","QS",1.53133333333333
"AGO","ODmrsl","QS",96.2783333333334
"AGO","Tuna","QS",2.262
"AGO","Eelstg","QS",0.004
"AGO","Tilapia","QS",2.23566666666667
"AGO","Pangas","QS",0.0283333333333333
"AGO","Mullet","QS",0.0133333333333333
"AGO","OFrshD","QS",16.317
"AGO","OPelag","QS",288.239333333333
"AGO","OMarn","QS",27.0676666666667
"AGO","c-Crust","QD",2.23976825136422
"AGO","c-Crust","QM",0.468965278884198
"AGO","c-Crust","QE",1.08570596400429
"AGO","c-Crust","QN",0.698399137329568
"AGO","c-Mllsc","QD",0.60840826250863
"AGO","c-Mllsc","QM",0.420798219715075
"AGO","c-Mllsc","QE",2.77986370186244
"AGO","c-Mllsc","QN",2.17631783753459
"AGO","c-FrshD","QD",46.435753620275
"AGO","c-FrshD","QM",18.7790941211347
"AGO","c-FrshD","QE",0.00019580105353302
"AGO","c-FrshD","QN",-19.2982664268988
"AGO","c-OPelag","QD",321.504873032094
"AGO","c-OPelag","QM",58.8270885601301
"AGO","c-OPelag","QE",25.8622624997096
"AGO","c-OPelag","QN",-31.8024872651244
"AGO","c-ODmrsl","QD",92.9580077948664
"AGO","c-ODmrsl","QM",9.02175109826004
"AGO","c-ODmrsl","QE",0.147242392256831
"AGO","c-ODmrsl","QN",-8.48860827517397
"AGO","c-OMarn","QD",34.8250883586925
"AGO","c-OMarn","QM",0.173914846882551
"AGO","c-OMarn","QE",0.00017404538091824
"AGO","c-OMarn","QN",-0.204057042742861
"ALB","Shrimp","QS",1.258
"ALB","Crust","QS",0.325666666666667
"ALB","Mllscs","QS",1.06766666666667
"ALB","Salmon","QS",1.82266666666667
"ALB","ODmrsl","QS",7.174
"ALB","Tuna","QS",0.16222
"ALB","Eelstg","QS",0.044
"ALB","Carp","QS",1.314
"ALB","Mullet","QS",0.332666666666667
"ALB","OFrshD","QS",1.01133333333333
"ALB","OCarp","QS",0.311333333333333
"ALB","OPelag","QS",1.82866666666667
"ALB","OMarn","QS",0.0146666666666667
"ALB","c-Crust","QD",4.83374135284477
"ALB","c-Crust","QM",16.274332073511
"ALB","c-Crust","QE",13.1272663267066
"ALB","c-Crust","QN",-2.73038411044455
"ALB","c-Mllsc","QD",4.26827752639574
"ALB","c-Mllsc","QM",4.42406461495891
"ALB","c-Mllsc","QE",1.81026151450144
"ALB","c-Mllsc","QN",-2.81628427942643
"ALB","c-FrshD","QD",4.88470804824783
"ALB","c-FrshD","QM",0.286734853026871
