"SCENARIO","CTY","YRS","Val"
"OECD_ssp1","AFG","2005",0.129338638852663
"OECD_ssp1","AFG","2006",0.129338638852663
"OECD_ssp1","AFG","2007",0.129338638852663
"OECD_ssp1","AFG","2008",0.129338638852663
"OECD_ssp1","AFG","2009",0.129338638852663
"OECD_ssp1","AFG","2010",0.0505213500867696
"OECD_ssp1","AFG","2011",0.0505213500867696
"OECD_ssp1","AFG","2012",0.0505213500867696
"OECD_ssp1","AFG","2013",0.0505213500867697
"OECD_ssp1","AFG","2014",0.0505213500867696
"OECD_ssp1","AFG","2015",0.0442284825895953
"OECD_ssp1","AFG","2016",0.0442284825895953
"OECD_ssp1","AFG","2017",0.0442284825895954
"OECD_ssp1","AFG","2018",0.0442284825895953
"OECD_ssp1","AFG","2019",0.0442284825895953
"OECD_ssp1","AFG","2020",0.0582425383570983
"OECD_ssp1","AFG","2021",0.0582425383570983
"OECD_ssp1","AFG","2022",0.0582425383570984
"OECD_ssp1","AFG","2023",0.0582425383570984
"OECD_ssp1","AFG","2024",0.0582425383570984
"OECD_ssp1","AFG","2025",0.0689450588916629
"OECD_ssp1","AFG","2026",0.0689450588916629
"OECD_ssp1","AFG","2027",0.0689450588916629
"OECD_ssp1","AFG","2028",0.0689450588916628
"OECD_ssp1","AFG","2029",0.068945058891663
"OECD_ssp1","AFG","2030",0.0749349329496462
"OECD_ssp1","AFG","2031",0.0749349329496462
"OECD_ssp1","AFG","2032",0.0749349329496462
"OECD_ssp1","AFG","2033",0.0749349329496463
"OECD_ssp1","AFG","2034",0.0749349329496463
"OECD_ssp1","AFG","2035",0.076190003810956
"OECD_ssp1","AFG","2036",0.0761900038109559
"OECD_ssp1","AFG","2037",0.0761900038109559
"OECD_ssp1","AFG","2038",0.076190003810956
"OECD_ssp1","AFG","2039",0.0761900038109559
"OECD_ssp1","AFG","2040",0.0743037288428452
"OECD_ssp1","AFG","2041",0.0743037288428453
"OECD_ssp1","AFG","2042",0.0743037288428451
"OECD_ssp1","AFG","2043",0.0743037288428451
"OECD_ssp1","AFG","2044",0.0743037288428452
"OECD_ssp1","AFG","2045",0.0705010301069332
"OECD_ssp1","AFG","2046",0.0705010301069332
"OECD_ssp1","AFG","2047",0.0705010301069331
"OECD_ssp1","AFG","2048",0.0705010301069331
"OECD_ssp1","AFG","2049",0.070501030106933
"OECD_ssp1","AFG","2050",-1
"OECD_ssp1","AGO","2005",0.115478153682142
"OECD_ssp1","AGO","2006",0.140101992817197
"OECD_ssp1","AGO","2007",0.111660499688922
"OECD_ssp1","AGO","2008",0.00857757224071395
"OECD_ssp1","AGO","2009",0.0485920058878162
"OECD_ssp1","AGO","2010",0.0347259358288769
"OECD_ssp1","AGO","2011",0.0854194256920444
"OECD_ssp1","AGO","2012",0.049548410135849
"OECD_ssp1","AGO","2013",0.0482252812944506
"OECD_ssp1","AGO","2014",0.00943124030728177
"OECD_ssp1","AGO","2015",-0.0257963091984208
"OECD_ssp1","AGO","2016",-0.00149909229274017
"OECD_ssp1","AGO","2017",-0.0131677417873786
"OECD_ssp1","AGO","2018",-0.00701600934227243
"OECD_ssp1","AGO","2019",-0.0563840902595242
"OECD_ssp1","AGO","2020",0.0119863948956031
"OECD_ssp1","AGO","2021",0.0304598913688797
"OECD_ssp1","AGO","2022",0.0125513648895089
"OECD_ssp1","AGO","2023",0.0327434835153984
"OECD_ssp1","AGO","2024",0.0337907984846277
"OECD_ssp1","AGO","2025",0.0345318163999701
"OECD_ssp1","AGO","2026",0.0354440834990228
"OECD_ssp1","AGO","2027",0.0379026488269012
"OECD_ssp1","AGO","2028",0.0388598367799698
"OECD_ssp1","AGO","2029",0.0396561783784402
"OECD_ssp1","AGO","2030",0.0409092242909753
"OECD_ssp1","AGO","2031",0.0412959289029216
"OECD_ssp1","AGO","2032",0.0429001692047378
"OECD_ssp1","AGO","2033",0.0430337111465164
"OECD_ssp1","AGO","2034",0.0432088203360513
"OECD_ssp1","AGO","2035",0.0429460110697584
"OECD_ssp1","AGO","2036",0.0438682522753333
"OECD_ssp1","AGO","2037",0.0449830306981381
"OECD_ssp1","AGO","2038",0.0461083165352969
"OECD_ssp1","AGO","2039",0.0472182478331575
"OECD_ssp1","AGO","2040",0.0481471644569507
"OECD_ssp1","AGO","2041",0.0490584386678202
"OECD_ssp1","AGO","2042",0.0497868516056309
"OECD_ssp1","AGO","2043",0.0503235783076087
"OECD_ssp1","AGO","2044",0.0506537463365535
"OECD_ssp1","AGO","2045",0.0507212211262659
"OECD_ssp1","AGO","2046",0.050789916387033
"OECD_ssp1","AGO","2047",0.0507832105251516
"OECD_ssp1","AGO","2048",0.0506976759247566
"OECD_ssp1","AGO","2049",0.050542890340158
"OECD_ssp1","AGO","2050",-1
"OECD_ssp1","ALB","2005",0.0590262105874009
"OECD_ssp1","ALB","2006",0.0598346214291967
"OECD_ssp1","ALB","2007",0.0749977559556936
"OECD_ssp1","ALB","2008",0.0335434180686232
"OECD_ssp1","ALB","2009",0.0370694725412512
"OECD_ssp1","ALB","2010",0.0254520639293026
"OECD_ssp1","ALB","2011",0.0141756689001321
"OECD_ssp1","ALB","2012",0.0100194756554308
"OECD_ssp1","ALB","2013",0.0177457919749387
"OECD_ssp1","ALB","2014",0.0221904184495563
"OECD_ssp1","ALB","2015",0.0331490294819627
"OECD_ssp1","ALB","2016",0.0380222679775002
"OECD_ssp1","ALB","2017",0.0401925071126592
"OECD_ssp1","ALB","2018",0.0208790253728213
"OECD_ssp1","ALB","2019",-0.0330216789275215
"OECD_ssp1","ALB","2020",0.089084016510179
"OECD_ssp1","ALB","2021",0.0484439678641144
"OECD_ssp1","ALB","2022",0.0360664362623705
"OECD_ssp1","ALB","2023",0.0332984581979916
"OECD_ssp1","ALB","2024",0.0342949620933696
"OECD_ssp1","ALB","2025",0.0345115724669292
"OECD_ssp1","ALB","2026",0.034662913118019
"OECD_ssp1","ALB","2027",0.0357077938354212
"OECD_ssp1","ALB","2028",0.0357255682227555
"OECD_ssp1","ALB","2029",0.0356990605228752
"OECD_ssp1","ALB","2030",0.0351488430969009
"OECD_ssp1","ALB","2031",0.0342531619455158
"OECD_ssp1","ALB","2032",0.0331460872978336
