cbeef,AFG,0.066
cbeef,AGO,0.86
cbeef,ALB,0.365
cbeef,ARG,0.391
cbeef,ARM,1.436
cbeef,AUS,0.2
cbeef,AUT,0.68
cbeef,AZE,1.436
cbeef,BDI,1.25
cbeef,BEN,1.145
cbeef,BFA,0.92
cbeef,BGD,0.3
cbeef,BGR,0.365
cbeef,BLR,1.436
cbeef,BLT,1.436
cbeef,BLX,0.68
cbeef,BLZ,0.014
cbeef,BOL,0.014
cbeef,BRA,0.014
cbeef,BTN,0.066
cbeef,BWA,0.86
cbeef,CAF,1.145
cbeef,CAN,0.524
cbeef,CHL,0.014
cbeef,CHM,0.17
cbeef,CHP,0.68
cbeef,CIV,1.145
cbeef,CMR,1.145
cbeef,COD,1.145
cbeef,COG,1.145
cbeef,COL,0.833
cbeef,CRB,0.3
cbeef,CRI,0.014
cbeef,CUB,0.014
cbeef,CYP,0.89
cbeef,CZE,0.365
cbeef,DEU,0.68
cbeef,DJI,0.92
cbeef,DNK,0.68
cbeef,DOM,0.014
cbeef,DZA,0.89
cbeef,ECU,0.014
cbeef,EGY,0.4
cbeef,ERI,0.92
cbeef,ETH,0.92
cbeef,FJI,0.3
cbeef,FNP,0.68
cbeef,FRP,0.68
cbeef,GAB,1.145
cbeef,GEO,1.436
cbeef,GHA,1.145
cbeef,GIN,1.145
cbeef,GMB,1.145
cbeef,GNB,1.145
cbeef,GNQ,1.145
cbeef,GRC,0.365
cbeef,GSA,0.014
cbeef,GTM,0.014
cbeef,HND,0.014
cbeef,HRV,0.365
cbeef,HTI,0.014
cbeef,HUN,0.365
cbeef,IDN,0.443
cbeef,IND,0.04
cbeef,IRL,0.68
cbeef,IRN,0.89
cbeef,IRQ,0.89
cbeef,ISL,0.68
cbeef,ISR,0.524
cbeef,ITP,0.68
cbeef,JAM,0.3
cbeef,JOR,0.89
cbeef,JPN,0.572
cbeef,KAZ,0.946
cbeef,KEN,1.25
cbeef,KGZ,0.946
cbeef,KHM,0.495
cbeef,KOR,0.651
cbeef,LAO,0.495
cbeef,LBN,0.89
cbeef,LBR,1.145
cbeef,LBY,0.89
cbeef,LKA,0.066
cbeef,LSO,0.86
cbeef,MDA,0.365
cbeef,MDG,0.86
cbeef,MEX,0.274
cbeef,MLI,0.92
cbeef,MMR,0.495
cbeef,MNG,0.3
cbeef,MOR,0.89
cbeef,MOZ,0.86
cbeef,MRT,0.92
cbeef,MWI,0.86
cbeef,MYS,0.469
cbeef,NAM,0.86
cbeef,NER,0.92
cbeef,NGA,0.875
cbeef,NIC,0.014
cbeef,NLD,0.68
cbeef,NOR,0.68
cbeef,NPL,0.066
cbeef,NZL,0.524
cbeef,OAO,0.3
cbeef,OBN,0.365
cbeef,OIO,0.3
cbeef,OPO,0.3
cbeef,OSA,0.495
cbeef,PAK,0.3
cbeef,PAN,0.014
cbeef,PER,0.014
cbeef,PHL,0.625
cbeef,PNG,0.3
cbeef,POL,0.365
cbeef,PRK,0.3
cbeef,PRT,0.68
cbeef,PRY,0.014
cbeef,PSE,1.145
cbeef,RAP,0.89
cbeef,ROU,0.365
cbeef,RUS,1.436
cbeef,RWA,1.25
cbeef,SAU,0.89
cbeef,SDN,0.92
cbeef,SEN,1.145
cbeef,SLB,0.3
cbeef,SLE,1.145
cbeef,SLV,0.014
cbeef,SOM,0.92
cbeef,SPP,0.68
cbeef,SVK,0.365
cbeef,SVN,0.365
cbeef,SWE,0.68
cbeef,SWZ,0.86
cbeef,SYR,0.89
cbeef,TCD,0.92
cbeef,TGO,1.145
cbeef,THA,0.469
cbeef,TJK,0.946
cbeef,TKM,0.946
cbeef,TLS,0.3
cbeef,TUN,0.89
cbeef,TUR,0.834
cbeef,TZA,1.25
cbeef,UGA,1.25
cbeef,UKP,0.68
cbeef,UKR,1.436
cbeef,URY,0.014
cbeef,USA,0.068
cbeef,UZB,0.946
cbeef,VEN,0.014
cbeef,VNM,0.651
cbeef,VUT,0.3
cbeef,YEM,0.89
cbeef,ZAF,0.524
cbeef,ZMB,0.86
cbeef,ZWE,0.86
cpork,AFG,0.274
cpork,AGO,0.5
cpork,ALB,0.365
cpork,ARG,0.625
cpork,ARM,1.562
cpork,AUS,0.2
cpork,AUT,0.236
cpork,AZE,1.562
cpork,BDI,0.95
cpork,BEN,0.92
cpork,BFA,0.62
cpork,BGD,0.3
cpork,BGR,0.365
cpork,BLR,1.562
cpork,BLT,1.562
cpork,BLX,0.236
cpork,BLZ,0.17
cpork,BOL,0.17
cpork,BRA,1.21
cpork,BTN,0.274
cpork,BWA,0.5
cpork,CAF,0.92
cpork,CAN,0.608
cpork,CHL,0.17
cpork,CHM,0.118
cpork,CHP,0.236
cpork,CIV,0.92
cpork,CMR,0.92
cpork,COD,0.92
cpork,COG,0.92
cpork,COL,0.521
cpork,CRB,0.3
cpork,CRI,0.17
cpork,CUB,0.17
cpork,CYP,1.268
